Criteria,Sub-criteria,Ideal State,How to Inspect,Redshift,PySpark / Cradle,Athena,Glue
1. Data Modeling & Schema Design,Schema Pattern,"Schema matches dominant access pattern. Join count minimized. Denormalization is intentional.","Review query plans for join depth; measure p50/p99 latency; count joins per query in logs","Star schema + DISTKEY on join column + DISTSTYLE ALL for small dimensions. Ref: https://docs.aws.amazon.com/redshift/latest/dg/c_designing-tables-best-practices.html","Star schema; OBT when dimensions too large to broadcast","Star schema with Parquet + partitioning; schema design is cost optimization (bytes scanned)","Schema in Glue Catalog; Iceberg/Delta for schema evolution"
1. Data Modeling & Schema Design,Aggregate & Rollup Design,"Repeated aggregation patterns pre-computed. Downstream queries hit small aggregated tables.","Identify repeated patterns in query logs; measure bytes scanned before/after rollups","Materialized views with AUTO REFRESH. SVV_MV_INFO for status. Ref: https://docs.aws.amazon.com/redshift/latest/dg/materialized-view-overview.html","Write pre-aggregated DataFrames to Parquet/Delta; orchestrate via Cradle pipeline dependencies","CTAS to create aggregated tables. Ref: https://docs.aws.amazon.com/athena/latest/ug/ctas.html","Glue ETL jobs write rollup tables; Glue Workflows for scheduling. Ref: https://docs.aws.amazon.com/glue/latest/dg/workflows_overview.html"
1. Data Modeling & Schema Design,Time-Series & Trend Metrics,"Trend queries run on pre-partitioned data. No self-joins on large fact tables.","Check EXPLAIN for self-joins; verify time-based filters use partition pruning","Window functions (LAG/LEAD) efficient with sort key on date column. Ref: https://docs.aws.amazon.com/redshift/latest/dg/r_Window_function_synopsis.html","Window functions via pyspark.sql.Window; partition by date at write time. Ref: https://spark.apache.org/docs/latest/api/python/reference/pyspark.sql/window.html","Window functions fully supported; partition by date reduces bytes scanned","Job bookmarks prevent reprocessing; Window functions same as PySpark. Ref: https://docs.aws.amazon.com/glue/latest/dg/monitor-continuations.html"
1. Data Modeling & Schema Design,Slowly Changing Dimensions (SCD),"Dimension changes captured with correct effective/expiry dates. No overlapping date ranges. Surrogate keys used.","Verify surrogate keys in fact tables; check for overlapping validity ranges; measure dimension size growth","MERGE for Type 2 upserts. Ref: https://docs.aws.amazon.com/redshift/latest/dg/r_MERGE.html","Delta MERGE INTO for Type 2. Ref: https://docs.delta.io/latest/delta-update.html","Iceberg MERGE INTO for Type 2. Ref: https://docs.aws.amazon.com/athena/latest/ug/querying-iceberg-updating-iceberg-table-data.html","Native SCD in Glue Studio. Ref: https://docs.aws.amazon.com/glue/latest/dg/aws-glue-programming-etl-scd.html"
1. Data Modeling & Schema Design,High-Cardinality Dimensions (Bridge Tables),"Bridge tables pre-built at write time. Joins produce no unexpected row explosion.","Look for UNNEST/EXPLODE on large fact tables in plans; verify row counts don't multiply","Bridge table with DISTKEY matching fact table join key","Pre-explode into bridge DataFrame at write time; avoid explode() at query time on large datasets","UNNEST for ad-hoc; pre-exploded bridge tables for repeated queries","Pre-process into bridge tables in ETL; avoid runtime explosion"
1. Data Modeling & Schema Design,Access Pattern Alignment,"Most expensive queries run with maximum pruning and minimum movement because schema was designed for them.","Analyze query logs for frequent WHERE/JOIN ON/GROUP BY columns; measure p50/p95/p99 latency","STL_QUERY and SVL_QLOG for historical query pattern analysis. Ref: https://docs.aws.amazon.com/redshift/latest/dg/r_SVL_QLOG.html","Spark History Server for job-level query pattern analysis","Athena query history + CloudWatch; workgroups to segment patterns by team","CloudWatch Glue job metrics; analyze ETL scan patterns"
2. Physical Storage & Layout,Storage Format,"All analytical data in columnar format. Open table format used where ACID or incremental reads needed.","Check file format in storage; measure bytes scanned with EXPLAIN; compare query cost before/after format conversion","Internal columnar (proprietary). External via Spectrum: Parquet/ORC/Iceberg. Ref: https://docs.aws.amazon.com/redshift/latest/dg/c-using-spectrum.html","Parquet default: df.write.parquet(...). Delta for ACID. Ref: https://spark.apache.org/docs/latest/sql-data-sources-parquet.html","Parquet/ORC strongly recommended; bytes scanned = cost. Ref: https://docs.aws.amazon.com/athena/latest/ug/columnar-storage.html","Parquet/ORC/Iceberg/Delta configurable. Ref: https://docs.aws.amazon.com/glue/latest/dg/aws-glue-programming-etl-format.html"
2. Physical Storage & Layout,File Size,"Files uniformly ~128 MB. File count per partition matches cluster parallelism.","aws s3 ls --recursive to inspect sizes; check task count per partition in Spark UI; count files per partition","Automatic for internal tables. Compact S3 files to ~128 MB for Spectrum queries.","df.repartition(n) to increase; df.coalesce(n) to reduce without full shuffle. Ref: https://spark.apache.org/docs/latest/api/python/reference/pyspark.sql/api/pyspark.sql.DataFrame.repartition.html","Small files significantly hurt performance; OPTIMIZE compaction for Iceberg. Ref: https://docs.aws.amazon.com/athena/latest/ug/querying-iceberg-data-optimization.html","DynamicFrame.repartition() or groupFiles in S3 sink. Ref: https://docs.aws.amazon.com/glue/latest/dg/grouping-input-files.html"
2. Physical Storage & Layout,Encoding & Compression,"Encoding chosen per-column based on data characteristics. No compression on booleans or small tables.","Check storage size before/after; verify compression ratio per column; measure I/O reduction","ANALYZE COMPRESSION for recommendations. Don't encode leading sort key. Ref: https://docs.aws.amazon.com/redshift/latest/dg/t_Compressing_data_on_disk.html","Parquet handles internally (dictionary/RLE). File-level: Snappy/Gzip/Zstd. Ref: https://spark.apache.org/docs/latest/sql-performance-tuning.html","Parquet with Snappy or Zstd; BytesScanned validates impact. Ref: https://docs.aws.amazon.com/athena/latest/ug/compression-formats.html","format_options={'compression': 'snappy'}; Parquet handles column encoding automatically"
2. Physical Storage & Layout,Partitioning & Distribution Strategy,"Every query uses partition pruning. Joins on distributed keys require no data movement.","EXPLAIN for partition pruning; check partitions scanned vs total; measure shuffle bytes in Spark UI","DISTKEY on join column; SORTKEY on filter column. Ref: https://docs.aws.amazon.com/redshift/latest/dg/c_choosing_dist_style.html","df.write.partitionBy('date','region'); bucketing: df.write.bucketBy(n,'join_key'). Ref: https://spark.apache.org/docs/latest/sql-performance-tuning.html","Partition by date/region; partition projection to avoid Glue Catalog overhead. Ref: https://docs.aws.amazon.com/athena/latest/ug/partitions.html","enableUpdateCatalog=True to auto-register partitions. Ref: https://docs.aws.amazon.com/glue/latest/dg/aws-glue-programming-etl-partitions.html"
